"#総ステージ数"
8
"#ステージ","登場敵","カード数",
0,"Sakuya",3,1,
"#使用カードEASY","使用カードNOR","使用カードHARD","使用カードLUNA"
248,248,248,248,0
0,1,2,3,1
4,5,6,7,2
1"#ステージ","登場敵",,
1,"Patchouli",3,1,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,2
"#ステージ","登場敵",,
2,"Alice",3,2,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,2
"#ステージ","登場敵",,
3,"Udonge",4,2,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,1
8,9,10,11,2
"#ステージ","登場敵",,
4,"Youmu",4,3,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,1
8,9,10,11,2
"#ステージ","登場敵",,
5,"Komachi",4,3,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,1
8,9,10,11,2
"#ステージ","登場敵",,
6,"Reimu",6,4,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,1
248,248,248,248,0
8,9,10,11,1
12,13,14,15,2
"#ステージ","登場敵",,
7,"Yukari",7,5,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,1
248,248,248,248,0
8,9,10,11,1
12,13,14,15,1
16,17,18,19,2
