#ID,Name,"Type
255 Enemy Cards
2 Spell Cards
1 Skill Cards
0 System Cards","Cost or skill input:
0 236
1 214
2 623
3 421
4 22","Card description text:
Description that appears when you select a card on the deck construction screen","Appearance Stages
Appears from the stage with the number onwards
0 is initial possession
1-6 EASY
11-16 NORMAL
21-26 HARD
31-36 LUNA","Rarity
0@Common
1@Uncommon
2@Rare
Acquisition by lottery
Common 60%
Uncommon 30%
Rare 10%",,,,,,,,sort
100,"Improvised Rock Solid Prank",1,2,"",0,1,104,1,108,1,0,0,3,110
101,"Futatsuiwa Secret Technique",1,4,"",0,1,105,1,109,1,0,0,3,140
102,"Kamikiri Assault",1,1,"",0,1,106,1,110,1,0,0,3,130
103,"Paper Lantern Lift-Off",1,0,"",0,1,107,1,111,1,0,0,3,100
104,"",1,2,"",0,1,108,1,0,1,0,0,3,111
105,"Futatsuiwa Lazy Technique",1,4,"",0,1,109,1,0,1,0,0,3,141
106,"",1,1,"",0,1,110,1,0,1,0,0,3,131
107,"",1,0,"",0,1,111,1,0,1,0,0,3,101
108,"",1,2,"",0,1,112,1,0,1,0,0,3,112
109,"Futatsuiwa Flawless Technique",1,4,"",0,1,113,1,0,1,0,0,3,142
110,"",1,1,"",0,1,114,1,0,1,0,0,3,132
111,"",1,0,"",0,1,115,1,0,1,0,0,3,102
200,"Transformation \"Bunbuku Hot Soup Bath\"",2,3,"",0,2,203,4,0,0,0,0,3,230
201,"Trick \"Disrespectful Technique\"",2,2,"",0,2,203,4,0,0,0,0,3,220
202,"Transformation \"Gate of Hundred Demons\"",2,4,"",0,2,203,4,0,0,0,0,3,240
203,"Transformation \"Futatsuiwa Clan's Curse\"",2,3,"",0,2,203,4,0,0,0,0,3,231
204,"Transformation \"Ultimate Technique\"",2,5,"",0,2,203,4,0,0,0,0,3,250
